Elapse,Gyro_dPhi,Gyro_dTheta,Gyro_dGama,Gyro_Phi,Gyro_Theta,Gyro_Gama
6.42100000000001,3e-05,8e-06,7e-06,-0.01054,4.6e-05,0.004174
5.268,2.4e-05,-1.4e-05,2.6e-05,-0.010516,3.2e-05,0.0042
6.33400000000001,2e-05,-3.2e-05,3.8e-05,-0.010496,0,0.004239
5.36299999999995,1.9e-05,-4.2e-05,4.7e-05,-0.010477,-4.2e-05,0.004286
6.36500000000001,2.3e-05,-4.6e-05,5.9e-05,-0.010455,-8.8e-05,0.004344
6.34100000000004,4e-05,-5e-05,7.9e-05,-0.010414,-0.000138,0.004423
5.34499999999999,4.7e-05,-3.5e-05,7.1e-05,-0.010367,-0.000174,0.004495
7.44299999999998,5.3e-05,-2.6e-05,7e-05,-0.010315,-0.0002,0.004565
6.34600000000002,5.1e-05,-2e-05,6.7e-05,-0.010263,-0.00022,0.004633
5.40399999999996,4.7e-05,-1.8e-05,6.1e-05,-0.010217,-0.000238,0.004694
10.752,4.2e-05,-1.7e-05,5e-05,-0.010175,-0.000254,0.004744
1.99099999999997,4e-05,-1.7e-05,2.7e-05,-0.010135,-0.000271,0.00477
5.40500000000005,4.3e-05,-1.3e-05,-2e-06,-0.010092,-0.000285,0.004768
6.31399999999999,4.7e-05,-4e-06,-2.6e-05,-0.010045,-0.000289,0.004742
5.35099999999999,5.5e-05,2e-06,-4.8e-05,-0.009991,-0.000287,0.004695
7.53700000000002,4.5e-05,-2e-06,-5.7e-05,-0.009946,-0.000288,0.004638
6.29999999999997,4.6e-05,-9e-06,-7.1e-05,-0.009899,-0.000297,0.004567
5.444,5e-05,-1.1e-05,-8e-05,-0.00985,-0.000308,0.004487
6.29500000000005,5e-05,-9e-06,-8e-05,-0.0098,-0.000317,0.004408
5.444,4.9e-05,-5e-06,-8.5e-05,-0.009751,-0.000322,0.004323
6.44699999999998,2.6e-05,9e-06,-6.1e-05,-0.009726,-0.000313,0.004262
7.44099999999992,1e-05,2.4e-05,-4.5e-05,-0.009716,-0.000289,0.004218
5.38100000000008,-3e-06,3.6e-05,-2.8e-05,-0.009719,-0.000253,0.004189
6.45399999999996,-1.9e-05,4.8e-05,-1.7e-05,-0.009738,-0.000205,0.004172
5.31199999999998,-3.4e-05,6.1e-05,-1.5e-05,-0.009773,-0.000144,0.004157
6.48599999999999,-4.2e-05,7.3e-05,-2.2e-05,-0.009815,-7.2e-05,0.004135
6.24100000000005,-4.9e-05,8.8e-05,-3.3e-05,-0.009864,1.6e-05,0.004102
5.42100000000001,-3.6e-05,6.5e-05,-3e-05,-0.0099,8.1e-05,0.004072
7.498,-2.9e-05,5.5e-05,-3.1e-05,-0.009929,0.000136,0.00404
5.34699999999999,-2.2e-05,5.4e-05,-3.5e-05,-0.009951,0.000189,0.004006
6.40200000000002,-1.7e-05,5.8e-05,-3.6e-05,-0.009968,0.000247,0.00397
6.4519999999999,-1.5e-05,6.2e-05,-2.6e-05,-0.009983,0.000309,0.003944
5.32300000000008,-1.6e-05,6e-05,-1.1e-05,-0.009999,0.00037,0.003933
6.36700000000001,-2.4e-05,5.1e-05,1e-06,-0.010023,0.000421,0.003934
5.37999999999994,-3.9e-05,4.3e-05,7e-06,-0.010062,0.000464,0.003941
6.35399999999997,-5.4e-05,3.6e-05,1.3e-05,-0.010116,0.0005,0.003954
6.53900000000007,-6.3e-05,2.6e-05,1.8e-05,-0.010179,0.000526,0.003972
5.243,-6.6e-05,1.3e-05,1.7e-05,-0.010245,0.000539,0.003989
6.46099999999994,-6.4e-05,-2e-06,9e-06,-0.010309,0.000537,0.003997
6.45499999999999,-5.9e-05,-8e-06,2e-06,-0.010368,0.000528,0.003999
5.37100000000001,-6e-05,0,6e-06,-0.010428,0.000529,0.004005
6.35200000000002,-4.7e-05,1.2e-05,1.5e-05,-0.010475,0.00054,0.004021
5.34699999999999,-4.8e-05,1.8e-05,2e-05,-0.010523,0.000559,0.004041
6.62300000000005,-5.1e-05,1.7e-05,2.2e-05,-0.010574,0.000576,0.004062
6.06299999999993,-5e-05,5e-06,3e-05,-0.010623,0.000581,0.004092
5.38400000000006,-4.6e-05,-1.3e-05,4.6e-05,-0.01067,0.000568,0.004138
6.34199999999996,-4.2e-05,-3.3e-05,7e-05,-0.010712,0.000535,0.004208
7.55100000000009,-3.5e-05,-5.1e-05,9.7e-05,-0.010747,0.000484,0.004306
5.2319999999999,-2.7e-05,-6.1e-05,0.00012,-0.010774,0.000423,0.004425
6.40400000000008,-2.3e-05,-6.1e-05,0.000136,-0.010797,0.000362,0.004561
5.43099999999996,-2.7e-05,-5.6e-05,0.00015,-0.010824,0.000306,0.004711
6.29299999999999,-3.2e-05,-5.3e-05,0.000154,-0.010857,0.000253,0.004865
6.45899999999999,-3.2e-05,-5.6e-05,0.00015,-0.010888,0.000196,0.005015
5.39400000000001,-2.3e-05,-6.3e-05,0.000138,-0.010911,0.000134,0.005152
6.38300000000003,-1.6e-05,-7.5e-05,0.000135,-0.010927,5.9e-05,0.005287
5.32900000000003,-7e-06,-5.9e-05,8.7e-05,-0.010934,-0,0.005374
7.57399999999997,-1e-06,-4.8e-05,5.8e-05,-0.010935,-4.8e-05,0.005432
6.521,-0,-3.4e-05,3.5e-05,-0.010936,-8.2e-05,0.005468
5.41099999999994,-4e-06,-2.4e-05,2.4e-05,-0.010939,-0.000106,0.005491
6.34200000000007,-5e-06,-1.9e-05,2e-05,-0.010944,-0.000125,0.005512
5.38699999999992,-1e-06,-1.2e-05,1.7e-05,-0.010945,-0.000137,0.005528
6.43100000000008,2e-06,3e-06,5e-06,-0.010943,-0.000134,0.005533
6.40099999999999,-2e-06,1.4e-05,-2e-06,-0.010945,-0.000121,0.005531
6.43700000000003,-8e-06,2.1e-05,-2e-06,-0.010953,-9.9e-05,0.005529
6.30999999999993,-4e-06,2.8e-05,5e-06,-0.010957,-7.1e-05,0.005534
5.36500000000006,3e-06,3.2e-05,1.9e-05,-0.010954,-3.9e-05,0.005553
6.772,6e-06,3.2e-05,3.3e-05,-0.010948,-8e-06,0.005586
5.18200000000002,3e-06,2.8e-05,4.3e-05,-0.010945,2e-05,0.005629
6.58399999999992,-5e-06,2.2e-05,4.9e-05,-0.010951,4.2e-05,0.005678
6.42700000000007,-1.6e-05,1.7e-05,4.9e-05,-0.010966,5.9e-05,0.005726
5.27,-2.6e-05,1.5e-05,4.6e-05,-0.010992,7.4e-05,0.005773
6.436,-2.9e-05,1.2e-05,4.5e-05,-0.011021,8.6e-05,0.005818
5.38499999999997,-2.7e-05,5e-06,4.5e-05,-0.011048,9.1e-05,0.005863
6.39599999999996,-2.9e-05,-8e-06,4.8e-05,-0.011076,8.3e-05,0.00591
5.37200000000004,-3.6e-05,-2.6e-05,5.1e-05,-0.011113,5.7e-05,0.005962
6.36099999999995,-4.1e-05,-3.6e-05,5.1e-05,-0.011153,2.1e-05,0.006012
6.78699999999999,-3.9e-05,-3.4e-05,4.2e-05,-0.011193,-1.3e-05,0.006055
4.97500000000006,-4e-05,-2.7e-05,3.1e-05,-0.011232,-4e-05,0.006086
7.50200000000001,-2.2e-05,-1.3e-05,1e-05,-0.011254,-5.2e-05,0.006096
5.40099999999999,-4e-06,-1.2e-05,-4e-06,-0.011258,-6.5e-05,0.006092
6.38899999999998,1.5e-05,-2.1e-05,-1.5e-05,-0.011243,-8.6e-05,0.006078
6.34000000000001,3.3e-05,-3.1e-05,-2.2e-05,-0.01121,-0.000117,0.006056
5.37799999999999,3.7e-05,-2.3e-05,-1.3e-05,-0.011173,-0.00014,0.006043
7.47299999999995,3.7e-05,-7e-06,-4e-06,-0.011137,-0.000147,0.006039
6.45800000000007,3.2e-05,1.4e-05,-7e-06,-0.011105,-0.000133,0.006031
5.29599999999997,2.8e-05,2.8e-05,-2e-05,-0.011076,-0.000105,0.006011
6.42699999999996,2.6e-05,2.6e-05,-3.2e-05,-0.011051,-7.8e-05,0.005979
5.34400000000002,2.4e-05,1.5e-05,-4e-05,-0.011026,-6.4e-05,0.005939
6.56299999999999,3.2e-05,0,-4.9e-05,-0.010994,-6.4e-05,0.00589
6.382,3e-05,-1.3e-05,-4.1e-05,-0.010965,-7.7e-05,0.005849
6.28200000000001,2.7e-05,-2.3e-05,-4e-05,-0.010938,-0.0001,0.005809
6.41900000000006,2e-05,-3.2e-05,-4.1e-05,-0.010917,-0.000132,0.005768
5.28899999999999,1.6e-05,-4e-05,-3.6e-05,-0.010902,-0.000172,0.005732
6.49100000000002,1.7e-05,-4.4e-05,-2.1e-05,-0.010885,-0.000216,0.005711
6.45699999999994,3.1e-05,-4.8e-05,-1e-06,-0.010855,-0.000265,0.00571
5.35000000000008,3.8e-05,-3.4e-05,1.8e-05,-0.010817,-0.000299,0.005727
7.62799999999997,4.4e-05,-2.2e-05,3e-05,-0.010773,-0.000321,0.005757
5.21799999999994,4.5e-05,-9e-06,3.2e-05,-0.010728,-0.00033,0.00579
6.42000000000009,4.4e-05,-4e-06,2.8e-05,-0.010684,-0.000334,0.005817
5.51699999999999,4e-05,-1e-05,2.8e-05,-0.010644,-0.000344,0.005845
6.32199999999994,2.7e-05,-2.4e-05,3.5e-05,-0.010617,-0.000368,0.00588
6.42100000000001,6e-06,-3.3e-05,4.5e-05,-0.010611,-0.000402,0.005925
5.37699999999997,-1.8e-05,-3.2e-05,4.6e-05,-0.010629,-0.000434,0.005972
6.32900000000003,-4.4e-05,-2.9e-05,4.4e-05,-0.010672,-0.000463,0.006016
6.45699999999994,-5.3e-05,-1.8e-05,3.3e-05,-0.010725,-0.000481,0.006049
6.35200000000014,-6.9e-05,-1.1e-05,3.8e-05,-0.010795,-0.000492,0.006087
6.47200000000003,-8.5e-05,-5e-06,4.3e-05,-0.01088,-0.000497,0.00613
5.38699999999981,-9.4e-05,5e-06,4.3e-05,-0.010974,-0.000492,0.006172
6.30100000000011,-0.000108,2.4e-05,4.1e-05,-0.011082,-0.000468,0.006213
5.41100000000005,-8.3e-05,4.2e-05,1.9e-05,-0.011165,-0.000426,0.006232
7.48399999999982,-7.1e-05,5.8e-05,-6e-06,-0.011235,-0.000368,0.006226
6.33900000000009,-5.3e-05,6.8e-05,-3.7e-05,-0.011289,-0.0003,0.006189
5.32099999999991,-3e-05,7e-05,-7.1e-05,-0.011318,-0.00023,0.006118
6.43300000000013,-4e-06,5.9e-05,-9.8e-05,-0.011323,-0.000171,0.006021
6.34399999999991,2.2e-05,5e-05,-0.000131,-0.011301,-0.000122,0.00589
5.31999999999999,3.4e-05,3.4e-05,-0.000113,-0.011266,-8.8e-05,0.005777
6.42300000000007,3.9e-05,3.6e-05,-0.000109,-0.011227,-5.2e-05,0.005668
5.4209999999999,3.7e-05,4.4e-05,-0.000103,-0.011191,-8e-06,0.005565
6.51700000000011,3e-05,4.7e-05,-9e-05,-0.011161,3.9e-05,0.005475
6.28800000000007,1.8e-05,4.2e-05,-6.9e-05,-0.011143,8.1e-05,0.005406
5.33499999999987,7e-06,3e-05,-4.7e-05,-0.011136,0.000111,0.005359
7.56299999999999,-2e-06,1.4e-05,-2.7e-05,-0.011138,0.000125,0.005332
5.35600000000014,-9e-06,-8e-06,-3e-06,-0.011147,0.000117,0.005328
6.39999999999996,-1.6e-05,-3.2e-05,2.5e-05,-0.011163,8.5e-05,0.005353
6.3359999999999,-2e-05,-5.2e-05,4.7e-05,-0.011183,3.3e-05,0.0054
5.74500000000011,-2e-05,-6.4e-05,5.8e-05,-0.011202,-3.1e-05,0.005459
6.07699999999989,-2e-05,-7.4e-05,8e-05,-0.011222,-0.000105,0.005539
6.33000000000017,-1.6e-05,-5.4e-05,8.8e-05,-0.011238,-0.000158,0.005626
6.30399999999987,-1.7e-05,-4.5e-05,0.000112,-0.011255,-0.000204,0.005738
6.52500000000011,-1.4e-05,-4.3e-05,0.00013,-0.011269,-0.000247,0.005868
5.34199999999996,-7e-06,-4.2e-05,0.000138,-0.011276,-0.000289,0.006005
6.30599999999992,-2e-06,-4.4e-05,0.000156,-0.011277,-0.000333,0.006162
6.47799999999998,2e-06,-2.9e-05,0.000119,-0.011275,-0.000362,0.006281
6.76100000000002,8e-06,-2.2e-05,9.9e-05,-0.011267,-0.000384,0.00638
6.05699999999998,1.7e-05,-1.6e-05,7.8e-05,-0.01125,-0.000401,0.006458
5.26700000000013,2.3e-05,-8e-06,5.4e-05,-0.011228,-0.000408,0.006512
6.47399999999987,2.6e-05,3e-06,3.3e-05,-0.011202,-0.000406,0.006545
6.47100000000012,2.7e-05,8e-06,2.1e-05,-0.011175,-0.000398,0.006565
5.26399999999994,2.5e-05,8e-06,1.2e-05,-0.01115,-0.000389,0.006577
6.27700000000009,2.2e-05,7e-06,5e-06,-0.011128,-0.000382,0.006582
6.43099999999985,2e-05,7e-06,1e-06,-0.011107,-0.000375,0.006582
5.23000000000007,2.2e-05,6e-06,-3e-06,-0.011085,-0.000369,0.006579
6.4550000000001,2.7e-05,-1e-06,-4e-06,-0.011058,-0.00037,0.006576
5.36599999999998,3.8e-05,-1e-05,-6e-06,-0.01102,-0.000381,0.00657
6.28999999999991,2.9e-05,-1.2e-05,-7e-06,-0.01099,-0.000392,0.006563
7.69700000000006,1.3e-05,-1.3e-05,-3e-06,-0.010977,-0.000405,0.00656
5.13499999999989,-1.1e-05,-1.7e-05,5e-06,-0.010988,-0.000422,0.006565
6.36800000000015,-3.2e-05,-1.7e-05,7e-06,-0.01102,-0.000439,0.006572
6.44499999999981,-4.5e-05,-1e-05,6e-06,-0.011065,-0.000449,0.006578
5.24200000000019,-6.2e-05,6e-06,8e-06,-0.011128,-0.000443,0.006586
6.4789999999999,-5.9e-05,1.9e-05,6e-06,-0.011187,-0.000424,0.006592
6.46799999999992,-5.8e-05,3.1e-05,1e-06,-0.011244,-0.000392,0.006593
6.35200000000014,-5.3e-05,4.5e-05,-2e-06,-0.011297,-0.000347,0.006591
6.46100000000005,-5.1e-05,5.8e-05,1e-06,-0.011349,-0.000289,0.006592
5.29599999999997,-5.5e-05,6.6e-05,8e-06,-0.011404,-0.000222,0.0066
6.37200000000004,-6.2e-05,6.9e-05,1.5e-05,-0.011466,-0.000153,0.006616
5.45399999999985,-7e-05,6.6e-05,1.9e-05,-0.011536,-8.8e-05,0.006635
6.35699999999995,-8.9e-05,6.9e-05,2.3e-05,-0.011626,-1.9e-05,0.006658
6.49100000000002,-7.9e-05,5.3e-05,1.9e-05,-0.011705,3.4e-05,0.006678
5.37300000000007,-7.9e-05,4.8e-05,1.8e-05,-0.011783,8.2e-05,0.006695
6.38099999999997,-7.7e-05,4.5e-05,1.6e-05,-0.011861,0.000127,0.006711
5.40699999999994,-7.4e-05,4.8e-05,1.6e-05,-0.011935,0.000175,0.006728
6.35200000000014,-6.3e-05,5.8e-05,1.6e-05,-0.011998,0.000233,0.006744
6.43700000000003,-4.7e-05,7e-05,1.1e-05,-0.012045,0.000304,0.006755
5.40099999999999,-3.8e-05,7.6e-05,7e-06,-0.012082,0.000379,0.006762
6.45699999999994,-3.3e-05,7.5e-05,8e-06,-0.012115,0.000454,0.00677
5.4240000000001,-2.9e-05,7.4e-05,9e-06,-0.012144,0.000529,0.00678
6.664,-2.7e-05,7.7e-05,3e-06,-0.01217,0.000606,0.006782
5.26300000000002,-2.7e-05,8.1e-05,-8e-06,-0.012198,0.000687,0.006774
6.43199999999999,-2.7e-05,8.6e-05,-1.2e-05,-0.012225,0.000773,0.006762
7.52999999999981,-2.8e-05,9.2e-05,-1.1e-05,-0.012253,0.000865,0.006751
5.32500000000002,-2.6e-05,9.9e-05,-1.2e-05,-0.012278,0.000964,0.006739
6.46199999999997,-2e-05,0.000103,-7e-06,-0.012298,0.001067,0.006731
5.4050000000001,-1.6e-05,9.5e-05,1e-05,-0.012314,0.001162,0.006741
6.43100000000008,-1.5e-05,7.3e-05,2.8e-05,-0.012329,0.001235,0.006769
5.5019999999999,-1.6e-05,4.5e-05,3.3e-05,-0.012345,0.00128,0.006802
6.44400000000012,-1.8e-05,2e-05,3e-05,-0.012363,0.0013,0.006832
5.38499999999997,-2.3e-05,-2e-06,2.4e-05,-0.012386,0.001298,0.006856
6.6139999999999,-3.5e-05,-2.1e-05,1.4e-05,-0.012422,0.001277,0.00687
6.42500000000013,-5e-05,-3.7e-05,2e-06,-0.012472,0.00124,0.006873
5.37999999999994,-6.6e-05,-5.4e-05,-5e-06,-0.012538,0.001186,0.006868
6.48399999999993,-5.2e-05,-4.9e-05,2e-06,-0.01259,0.001137,0.006869
5.41000000000014,-4e-05,-5e-05,2.1e-05,-0.01263,0.001087,0.00689
7.54799999999989,-2.6e-05,-5.6e-05,4.3e-05,-0.012656,0.001031,0.006933
5.45400000000007,-1.2e-05,-6.2e-05,5.4e-05,-0.012668,0.000969,0.006987
6.48699999999991,-5e-06,-6.1e-05,5.5e-05,-0.012673,0.000908,0.007041
5.40399999999996,-0,-5.2e-05,5.8e-05,-0.012673,0.000856,0.007099
6.33700000000004,6e-06,-3.8e-05,7e-05,-0.012667,0.000818,0.007169
6.49800000000011,8e-06,-2.4e-05,8.5e-05,-0.012659,0.000794,0.007254
5.36599999999998,-1e-06,-1.4e-05,9.5e-05,-0.01266,0.00078,0.007349
6.41499999999984,-1.5e-05,-7e-06,9.4e-05,-0.012675,0.000773,0.007443
6.03300000000018,-3.3e-05,2e-06,9.9e-05,-0.012708,0.000775,0.007542
5.94199999999989,-3.7e-05,7e-06,7.4e-05,-0.012746,0.000781,0.007616
5.39000000000001,-4.1e-05,7e-06,6.6e-05,-0.012787,0.000789,0.007682
6.46100000000005,-3.7e-05,1.1e-05,5.9e-05,-0.012824,0.0008,0.007741
5.42700000000007,-3.1e-05,2.2e-05,4.1e-05,-0.012855,0.000822,0.007783
6.46299999999989,-2.7e-05,3e-05,1e-05,-0.012883,0.000852,0.007793
6.49000000000011,-2.5e-05,3.4e-05,-2.8e-05,-0.012908,0.000886,0.007765
5.33799999999984,-2.3e-05,3.5e-05,-6.8e-05,-0.012931,0.000921,0.007697
6.39199999999995,-2.3e-05,3.2e-05,-0.000104,-0.012954,0.000953,0.007593
6.52700000000017,-2.1e-05,2.9e-05,-0.000129,-0.012975,0.000982,0.007465
6.36199999999998,-1.6e-05,3.2e-05,-0.000142,-0.01299,0.001014,0.007322
5.34499999999993,-1e-05,3.7e-05,-0.000149,-0.013,0.001051,0.007173
6.39499999999993,-6e-06,3.7e-05,-0.000147,-0.013006,0.001087,0.007027
6.46000000000013,-2e-06,3.4e-05,-0.000135,-0.013008,0.001121,0.006891
5.32699999999986,3e-06,3.1e-05,-0.000126,-0.013005,0.001152,0.006765
12.877,6e-06,2.9e-05,-0.000119,-0.012999,0.001182,0.006646
3.46299999999999,4e-06,2.5e-05,-0.000106,-0.012995,0.001206,0.00654
2.60199999999999,2e-06,1.3e-05,-9e-05,-0.012992,0.001219,0.00645
5.57600000000003,-0,-0,-8.3e-05,-0.012993,0.001219,0.006367
5.31300000000012,-4e-06,-6e-06,-9.6e-05,-0.012996,0.001212,0.006271
7.47999999999993,-3e-06,-1e-06,-8.2e-05,-0.012999,0.001211,0.006189
