Elapse,Gyro_dPhi,Gyro_dTheta,Gyro_dGama,Gyro_Phi,Gyro_Theta,Gyro_Gama
3.315,NaN,-3.6e-05,0.000119,-0.861903,-1.338529,1.739703
5.081,-2e-05,-5.4e-05,0.000114,-0.861923,-1.338583,1.739817
9.874,-1.2e-05,-6.4e-05,0.000101,-0.861935,-1.338647,1.739918
2.154,-5e-06,-6.7e-05,8.5e-05,-0.86194,-1.338713,1.740003
1.15,0,-7.3e-05,8.7e-05,-0.86194,-1.338786,1.740089
3.315,8e-06,-5.4e-05,7e-05,-0.861932,-1.33884,1.74016
4.362,1.8e-05,-3.9e-05,7.1e-05,-0.861915,-1.338879,1.740231
6.922,2.3e-05,-1.8e-05,7.6e-05,-0.861891,-1.338897,1.740307
4.769,1.8e-05,-5e-06,8.4e-05,-0.861874,-1.338902,1.740391
6.434,8e-06,-6e-06,9e-05,-0.861866,-1.338907,1.740481
6.294,1e-06,-1.3e-05,9.2e-05,-0.861865,-1.338921,1.740574
5.318,0,-2.4e-05,8.5e-05,-0.861864,-1.338945,1.740658
6.484,-1e-06,-3.7e-05,7.8e-05,-0.861865,-1.338982,1.740736
6.396,-1e-06,-2.8e-05,3.9e-05,-0.861866,-1.33901,1.740776
6.471,3e-06,-1.8e-05,8e-06,-0.861863,-1.339029,1.740784
6.39999999999999,4e-06,-9e-06,-2.2e-05,-0.86186,-1.339038,1.740761
5.343,-6e-06,-2e-06,-5e-05,-0.861866,-1.33904,1.740711
6.397,-2e-05,1e-05,-8.9e-05,-0.861886,-1.339029,1.740622
6.37700000000001,-2.2e-05,2.1e-05,-9.4e-05,-0.861908,-1.339008,1.740528
6.341,-2.5e-05,3.3e-05,-9.9e-05,-0.861933,-1.338975,1.740429
6.41899999999999,-3.1e-05,4.5e-05,-9.6e-05,-0.861964,-1.33893,1.740333
5.317,-3.9e-05,5.5e-05,-8.8e-05,-0.862003,-1.338876,1.740245
7.57600000000001,-5.3e-05,6.4e-05,-8.7e-05,-0.862056,-1.338812,1.740158
6.297,-4.9e-05,5e-05,-5.7e-05,-0.862105,-1.338762,1.740101
5.36199999999998,-4.6e-05,4.3e-05,-3.3e-05,-0.862151,-1.338719,1.740068
6.40100000000002,-3.7e-05,3.7e-05,-4e-06,-0.862187,-1.338682,1.740064
5.20499999999999,-3e-05,3.6e-05,2e-05,-0.862218,-1.338647,1.740084
