Elapse,Mag_X,Mag_Y,Mag_Z
22.212,NaN,412,178
36.734,284,412,178
10.808,284,412,178
3.18400000000001,284,412,178
0.688999999999995,273,415,181
0.838000000000005,273,415,181
0.57299999999999,273,415,181
0.735,273,415,181
0.564000000000009,278,420,182
0.594999999999998,278,420,182
0.573000000000004,278,420,182
0.555,278,420,182
0.825999999999993,278,420,182
0.552999999999998,278,420,182
0.586000000000003,278,420,182
0.857999999999998,278,420,182
0.551999999999997,278,420,182
0.561000000000006,278,420,182
0.946000000000002,279,417,185
1.761,279,417,185
2.78,279,417,185
1.133,279,417,185
0.701999999999994,279,417,185
0.740000000000005,273,413,177
0.620999999999997,273,413,177
0.746000000000011,273,413,177
0.620999999999997,273,413,177
0.82299999999999,273,413,177
0.60700000000001,281,411,179
0.817999999999999,281,411,179
0.608999999999998,281,411,179
0.600000000000003,281,411,179
0.588999999999992,281,411,179
0.602000000000005,281,411,179
0.597,281,411,179
0.601000000000004,281,411,179
0.591999999999995,281,411,179
0.587999999999991,285,415,175
0.595000000000012,285,415,175
0.599999999999989,285,415,175
0.598000000000001,285,415,175
0.638,285,415,175
0.612000000000001,279,419,189
0.620999999999997,279,419,189
0.684000000000004,279,419,189
0.702999999999995,279,419,189
0.643000000000005,279,419,189
0.627000000000003,279,419,189
0.628000000000004,279,419,189
0.611,279,419,189
0.619999999999996,279,419,189
0.728000000000006,280,420,180
0.618999999999995,280,420,180
1.015,280,420,180
0.626000000000002,280,420,180
0.632999999999995,280,420,180
0.913999999999998,280,416,178
0.620000000000009,280,416,178
0.806999999999988,280,416,178
0.626000000000002,280,416,178
0.605000000000008,280,416,178
0.617999999999994,280,416,178
0.669000000000003,280,416,178
0.629999999999992,280,416,178
0.685000000000005,280,416,178
0.684000000000004,280,416,178
0.606999999999996,282,418,178
0.592999999999996,282,418,178
1.10300000000001,282,418,178
0.758999999999996,282,418,178
0.708,282,418,178
2.609,281,415,179
0.726000000000004,281,415,179
0.659999999999994,281,415,179
0.651000000000013,281,415,179
0.641000000000003,281,415,179
0.642999999999977,281,415,179
0.635999999999998,281,415,179
1.32100000000002,281,415,179
0.695000000000001,281,415,179
0.714999999999993,279,421,183
1.23799999999999,279,421,183
0.806000000000001,279,421,183
0.747000000000025,279,421,183
1.52999999999998,279,421,183
1.364,279,419,179
1.164,279,419,179
0.989000000000018,279,419,179
0.881999999999994,279,419,179
0.779000000000002,279,419,179
0.763999999999987,279,419,179
0.680000000000014,279,419,179
0.777,279,419,179
1.578,279,419,179
0.951000000000007,280,422,179
0.793999999999989,280,422,182
0.798999999999994,280,422,182
1.942,280,422,182
1.76600000000002,280,422,182
0.890000000000002,282,418,176
1.79199999999999,282,418,176
1.03300000000001,282,418,176
0.880999999999993,282,418,176
0.800999999999996,282,418,176
0.809000000000004,283,417,175
1.34400000000001,283,417,175
0.991999999999993,283,417,175
0.840000000000007,283,417,175
1.43299999999999,283,417,175
0.826999999999994,283,417,175
1.306,283,417,175
0.771999999999995,283,417,175
0.717999999999996,283,417,175
0.701000000000007,283,417,175
0.791000000000014,278,414,178
0.947000000000003,278,414,178
0.732999999999984,278,414,178
0.654000000000016,278,414,178
0.788999999999984,278,414,178
0.87000000000001,281,425,175
0.76699999999999,281,425,175
0.723000000000001,281,425,175
0.714999999999993,281,425,175
1.639,281,425,175
0.997999999999999,281,425,175
0.771000000000022,281,425,175
0.93399999999999,281,425,175
0.707999999999986,281,425,175
1.40200000000001,277,411,173
0.805,277,411,173
0.685999999999992,277,411,173
0.680000000000014,277,411,173
0.676999999999983,277,411,173
0.685000000000019,281,415,185
1.70999999999999,281,415,185
0.796999999999992,281,415,185
1.90799999999999,281,415,185
1.02600000000003,281,415,185
0.723999999999975,281,415,185
1.14700000000001,281,415,185
0.646000000000008,281,415,185
0.868000000000008,281,415,185
0.634999999999997,279,419,185
0.676999999999983,279,419,175
0.585000000000002,279,419,175
0.995999999999997,279,419,175
1.57300000000002,279,419,175
0.753999999999977,279,413,179
3.51700000000002,279,413,179
0.713999999999992,279,413,179
0.59300000000001,279,413,179
0.73899999999999,279,413,179
0.878999999999991,279,413,179
2.23500000000001,279,413,179
0.686999999999993,279,413,179
3.95200000000001,279,413,179
0.704999999999983,279,413,179
0.661999999999996,282,420,176
1.10200000000002,282,420,176
1.40799999999999,282,420,176
0.629999999999992,282,420,176
1.112,282,420,176
1.67100000000001,280,416,176
0.836000000000003,280,416,176
2.416,280,416,176
0.944,280,416,176
1.64,280,416,176
1.06099999999998,280,416,176
1.253,280,416,176
1.93300000000002,280,416,176
1.17699999999998,280,416,176
0.974000000000003,286,422,178
2.18499999999999,286,422,178
1.01000000000001,286,422,178
1.79100000000001,286,422,178
1.28899999999998,286,422,178
1.18499999999999,288,418,176
2.10200000000002,288,418,176
1.08699999999998,288,418,176
1.05200000000003,288,418,176
2.12899999999999,288,418,176
1.078,285,417,177
1.06200000000001,285,417,177
1.087,285,417,177
2.12399999999999,285,417,177
1.36,285,417,177
0.79499999999999,285,417,177
2.15799999999999,285,417,177
1.28300000000003,285,417,177
1.888,285,417,177
2.13099999999999,277,415,177
1.59100000000001,277,415,177
0.647999999999982,277,415,177
1.13400000000002,277,415,177
0.917000000000001,277,415,177
2.14799999999998,273,423,181
1.24799999999997,273,423,181
0.888,273,423,181
2.34400000000001,273,423,181
1.689,273,423,181
2.17400000000001,273,423,181
1.056,273,423,181
1.72899999999998,273,423,181
0.833000000000028,273,423,181
0.749999999999973,273,423,181
1.42400000000004,277,419,179
1.69599999999998,277,419,179
1.56400000000001,277,419,179
2.73400000000001,277,419,179
1.24799999999997,277,417,173
2.13800000000003,277,417,173
1.05899999999998,277,417,173
0.717999999999996,277,417,173
0.754000000000032,277,417,173
1.027,277,417,173
2.612,277,417,173
1.04399999999999,277,417,173
0.722,277,417,173
3.17699999999999,277,417,173
1.21300000000002,277,413,175
0.870999999999955,277,413,175
2.32300000000002,277,413,175
1.27700000000003,277,413,175
