Elapse,Mag_X,Mag_Y,Mag_Z
3.424,502,24.347164,47.346031
3.232,81.753502,24.347164,47.346031
2.193,82.58683,23.847164,47.512699
4.776,82.58683,23.847164,47.512699
3.72,82.58683,23.847164,47.512699
1.631,82.58683,23.847164,47.512699
4.239,82.08683,23.6805,48.012699
2.196,82.08683,23.6805,48.012699
3.142,83.253502,23.513836,47.179367
3.185,83.253502,23.513836,47.179367
4.265,83.253502,23.513836,47.179367
3.203,83.253502,23.513836,47.179367
3.223,82.58683,23.513836,46.846031
3.144,82.58683,23.513836,46.846031
3.361,82.58683,23.513836,46.846031
3.062,81.58683,24.513836,47.179367
4.3,81.58683,24.513836,47.179367
2.12,81.58683,24.513836,47.179367
3.226,81.58683,24.513836,47.179367
4.187,82.08683,23.6805,47.346031
3.21,82.08683,23.6805,47.346031
3.259,81.08683,24.013836,47.012699
3.189,81.08683,24.013836,47.012699
4.748,81.08683,24.013836,47.012699
1.584,81.08683,24.013836,47.012699
3.188,81.08683,24.347164,46.679367
4.274,81.08683,24.347164,46.679367
2.15899999999999,82.253502,24.1805,47.179367
4.292,82.253502,24.1805,47.179367
3.189,81.420166,24.347164,47.346031
3.28200000000001,81.420166,24.347164,47.346031
2.193,81.420166,24.347164,47.346031
5.34799999999999,81.420166,24.347164,47.346031
2.165,82.08683,23.6805,47.012699
3.125,82.08683,23.6805,47.012699
4.26,80.753502,23.013836,47.346031
2.428,80.753502,23.013836,47.346031
3.21500000000001,80.753502,23.013836,47.346031
4.25299999999999,80.753502,23.013836,47.346031
3.18599999999999,80.753502,23.013836,47.346031
2.42000000000001,82.753502,23.6805,47.012699
2.93699999999999,82.753502,23.6805,47.012699
4.28900000000001,82.420166,24.013836,48.012699
3.221,82.420166,24.013836,48.012699
3.17699999999999,82.420166,24.013836,48.012699
3.28200000000001,82.420166,24.013836,48.012699
3.17899999999999,82.253502,23.847164,47.512699
3.23100000000001,82.253502,23.847164,47.512699
4.59399999999999,81.920166,23.847164,45.846031
1.72900000000001,81.920166,23.847164,45.846031
3.18499999999999,81.920166,23.847164,45.846031
4.26899999999999,81.920166,23.847164,45.846031
5.08900000000001,82.08683,24.013836,47.679367
1.31200000000001,82.08683,24.013836,47.679367
3.13099999999999,82.58683,24.513836,46.846031
3.21399999999999,82.58683,24.513836,46.846031
3.18499999999999,82.58683,24.513836,46.846031
3.247,82.58683,24.513836,46.846031
4.26700000000002,82.253502,22.847164,47.179367
2.111,82.253502,22.847164,47.179367
4.53899999999999,83.08683,24.347164,47.179367
3.191,83.08683,24.347164,47.346031
3.23500000000002,83.08683,24.347164,47.346031
2.08999999999998,82.253502,24.1805,47.512699
4.244,82.253502,24.1805,47.512699
3.216,82.253502,24.1805,47.512699
3.18300000000002,82.253502,24.1805,47.512699
5.999,81.253502,23.847164,47.179367
0.81299999999998,81.253502,23.847164,47.179367
2.79100000000002,82.253502,24.1805,47.846031
4.25200000000001,82.253502,24.1805,47.846031
3.19999999999998,82.253502,24.1805,47.846031
3.23300000000001,82.253502,24.1805,47.846031
2.07499999999999,82.08683,23.013836,47.679367
4.28100000000001,82.08683,23.013836,47.679367
3.68199999999999,81.753502,23.6805,48.679367
3.80000000000003,81.753502,23.6805,48.679367
2.14299999999995,81.753502,23.6805,48.679367
3.168,81.753502,23.6805,48.679367
3.17100000000003,82.08683,24.347164,47.679367
4.272,82.08683,24.347164,47.679367
3.20599999999999,82.58683,22.847164,47.179367
2.18600000000002,82.58683,22.847164,47.179367
4.245,82.58683,22.847164,47.179367
3.20499999999996,82.58683,22.847164,47.179367
3.22500000000003,82.58683,22.847164,47.179367
3.21199999999999,82.08683,23.347164,47.346031
3.26300000000002,82.08683,23.347164,47.346031
3.12599999999996,82.753502,23.6805,47.012699
3.20200000000004,82.753502,23.6805,47.012699
4.62299999999999,82.753502,23.6805,47.012699
2.83600000000001,82.753502,23.6805,47.012699
3.40799999999997,82.920166,23.847164,47.179367
3.193,82.920166,23.847164,47.179367
3.18100000000004,81.253502,23.513836,47.846031
3.195,81.253502,23.513836,47.846031
3.16799999999995,82.08683,24.013836,47.012699
