Elapse,Mag_raw_X,Mag_raw_Y,Mag_raw_Z
7.927,48,-274,16
25.229,-48,-274,16
9.625,-48,-274,16
4.485,-48,-274,16
2.663,-54,-280,14
4.102,-56,-278,18
1.045,-56,-278,18
0.973000000000002,-56,-278,18
0.758999999999996,-54,-276,24
1.805,-53,-277,19
0.974000000000003,-53,-277,19
0.706999999999999,-53,-277,19
1.389,-51,-273,15
2.05899999999999,-52,-282,16
5.777,-52,-282,16
5.108,-52,-282,16
4.374,-58,-286,16
4.869,-58,-286,16
5.30799999999999,-54,-280,26
4.32700000000001,-54,-280,26
5.241,-57,-279,17
5.30799999999999,-57,-279,17
5.342,-51,-279,17
4.721,-50,-274,8
4.871,-50,-274,8
5.28200000000001,-50,-274,8
5.35899999999999,-54,-276,22
5.22500000000001,-57,-277,17
5.353,-57,-277,17
4.31500000000001,-57,-277,17
5.269,-55,-281,23
5.34499999999999,-46,-274,22
5.26300000000002,-46,-274,22
4.19799999999998,-46,-274,22
5.472,-56,-278,18
5.244,-51,-281,11
4.25900000000001,-51,-281,11
5.33,-51,-281,11
5.28499999999998,-56,-282,28
4.34600000000002,-58,-280,18
6.30799999999998,-58,-280,18
5.28500000000001,-58,-280,18
5.37499999999999,-53,-273,17
4.67800000000002,-53,-281,21
4.912,-53,-281,21
5.276,-57,-279,21
4.22599999999998,-57,-279,21
5.48000000000001,-57,-279,21
5.28999999999999,-55,-279,21
4.34200000000001,-53,-279,19
5.40299999999999,-53,-279,19
5.21500000000002,-53,-279,19
4.278,-49,-279,19
5.64799999999999,-50,-286,12
5.11400000000001,-50,-286,12
5.247,-50,-286,12
5.32299999999997,-54,-280,16
5.46099999999999,-46,-276,18
4.43100000000002,-46,-276,18
5.35000000000002,-46,-276,18
4.33,-40,-276,16
5.25899999999996,-47,-281,9
5.268,-47,-281,9
4.36600000000004,-47,-281,9
5.34099999999999,-47,-275,9
5.25199999999998,-48,-278,12
5.28500000000004,-48,-278,12
4.34699999999999,-47,-281,7
5.46199999999997,-47,-281,7
5.30200000000003,-48,-286,0
5.39499999999998,-48,-286,0
5.24200000000002,-48,-282,0
5.28400000000001,-48,-282,0
4.42799999999999,-52,-282,-8
5.26599999999999,-52,-282,-8
5.28699999999999,-52,-280,-8
4.24600000000003,-52,-280,-8
5.36500000000001,-52,-280,-8
5.27699999999998,-45,-275,-5
4.27899999999998,-46,-276,-8
5.32400000000005,-46,-276,-8
5.24999999999998,-46,-276,-8
6.37100000000002,-51,-281,-19
4.361,-55,-283,-19
5.28399999999996,-55,-283,-19
5.35099999999999,-55,-283,-19
4.31700000000002,-55,-283,-17
5.20000000000004,-55,-281,-13
5.25299999999995,-49,-281,-13
4.23800000000002,-49,-281,-17
5.388,-49,-281,-17
5.33899999999998,-55,-279,-25
5.26500000000002,-55,-279,-25
4.37700000000002,-47,-285,-27
5.25499999999995,-47,-285,-27
6.37600000000005,-56,-278,-30
4.36899999999996,-56,-278,-30
5.23200000000001,-58,-286,-24
5.28099999999998,-58,-286,-24
4.29000000000002,-53,-283,-27
5.546,-53,-283,-27
6.41900000000006,-57,-279,-39
3.22299999999998,-57,-279,-39
5.46799999999992,-61,-279,-39
5.30400000000009,-61,-277,-31
4.23600000000002,-52,-282,-30
5.44199999999995,-52,-282,-30
4.49999999999995,-52,-282,-30
5.31900000000007,-52,-282,-30
6.48700000000002,-64,-276,-40
4.18299999999994,-60,-280,-32
5.30200000000003,-60,-280,-32
5.61,-60,-280,-32
4.00100000000003,-60,-280,-26
5.30799999999998,-65,-283,-35
5.32599999999994,-65,-283,-35
4.28499999999998,-65,-283,-35
5.26100000000007,-56,-282,-34
5.29499999999994,-56,-282,-34
5.42000000000009,-60,-282,-38
4.16099999999997,-60,-282,-38
5.31399999999993,-66,-278,-32
5.69400000000009,-66,-278,-32
3.87899999999997,-58,-286,-32
6.31099999999996,-58,-286,-32
5.30600000000003,-65,-285,-33
4.31599999999999,-65,-285,-33
5.23700000000005,-58,-286,-32
5.28699999999993,-56,-276,-34
5.3700000000001,-56,-276,-34
4.18299999999994,-56,-276,-34
5.29599999999997,-61,-283,-33
5.44600000000006,-64,-284,-34
4.21399999999994,-64,-284,-34
5.23800000000008,-64,-284,-34
5.30799999999998,-60,-282,-36
5.37799999999999,-60,-280,-38
4.20900000000002,-60,-280,-38
6.40200000000002,-60,-280,-38
5.332,-68,-280,-32
4.15699999999997,-60,-280,-30
5.30799999999998,-60,-280,-30
5.413,-60,-280,-30
4.20600000000004,-54,-278,-36
5.23799999999996,-64,-282,-34
5.31999999999999,-64,-282,-34
4.80100000000006,-64,-282,-34
5.23999999999991,-62,-282,-32
4.41000000000003,-62,-282,-32
5.32299999999997,-64,-276,-38
5.25400000000009,-68,-278,-42
5.31899999999996,-68,-278,-42
5.46999999999997,-68,-278,-42
5.76300000000007,-61,-283,-37
4.13999999999992,-56,-286,-30
5.46599999999997,-56,-286,-30
5.22,-56,-286,-30
4.19800000000004,-58,-282,-34
5.30700000000006,-66,-286,-34
5.38499999999997,-66,-286,-34
4.20299999999996,-66,-286,-34
5.26700000000002,-63,-283,-37
5.44999999999995,-68,-286,-34
4.21199999999999,-68,-286,-34
5.24500000000006,-68,-286,-34
5.38700000000003,-58,-282,-36
6.33799999999995,-62,-286,-38
4.22400000000001,-62,-286,-38
5.38099999999997,-62,-286,-38
5.31999999999999,-60,-278,-34
4.22100000000003,-62,-284,-28
5.27200000000005,-62,-284,-28
5.47500000000001,-63,-285,-35
4.24099999999994,-63,-285,-35
5.30700000000006,-63,-279,-35
5.37599999999994,-63,-279,-35
4.22900000000004,-61,-283,-33
5.24599999999997,-61,-283,-33
5.30399999999998,-61,-283,-33
5.39699999999999,-58,-284,-36
5.24000000000002,-55,-283,-35
5.31700000000002,-55,-283,-35
5.45099999999998,-55,-283,-35
4.162,-60,-284,-28
5.34100000000004,-64,-282,-30
5.413,-64,-282,-30
4.22199999999995,-64,-282,-30
5.25100000000001,-64,-290,-32
5.40600000000002,-66,-284,-40
4.162,-66,-284,-40
5.26899999999997,-66,-284,-40
5.33700000000004,-57,-281,-41
5.41700000000001,-53,-281,-41
4.22400000000001,-53,-281,-41
6.34699999999999,-58,-282,-34
5.35300000000005,-58,-282,-34
4.19999999999998,-65,-285,-45
5.28299999999993,-65,-285,-45
5.3430000000001,-65,-281,-33
4.20399999999987,-65,-281,-33
5.22800000000001,-66,-290,-36
5.46100000000016,-66,-290,-36
5.30900000000001,-64,-278,-40
4.18099999999999,-64,-278,-40
5.3129999999999,-59,-287,-40
5.38299999999992,-59,-287,-33
4.23600000000013,-65,-279,-27
5.30699999999995,-65,-279,-27
6.386,-65,-279,-27
4.22600000000006,-60,-282,-36
5.28299999999993,-65,-285,-37
5.41100000000005,-65,-285,-37
5.32299999999997,-65,-285,-37
4.1770000000001,-65,-285,-37
5.32199999999983,-63,-281,-35
5.4050000000001,-59,-283,-33
4.21999999999989,-59,-283,-33
5.27900000000003,-59,-283,-33
5.37699999999997,-61,-289,-33
4.22400000000001,-61,-289,-33
5.274,-64,-280,-28
5.31499999999996,-64,-280,-28
5.35300000000016,-60,-286,-32
5.28799999999996,-60,-286,-32
5.36200000000009,-61,-283,-35
5.30199999999992,-61,-283,-35
4.27599999999995,-61,-287,-31
5.25700000000007,-61,-287,-31
5.44999999999995,-58,-284,-34
4.2120000000001,-58,-284,-34
5.35399999999986,-62,-280,-32
6.03400000000009,-62,-280,-32
3.86200000000003,-71,-283,-43
5.49899999999992,-71,-283,-43
4.28899999999999,-71,-283,-43
5.20999999999994,-71,-283,-43
5.40400000000019,-64,-284,-40
5.35999999999981,-71,-275,-35
5.26000000000004,-71,-275,-35
5.25299999999995,-71,-275,-35
5.37500000000013,-62,-282,-36
4.54299999999996,-65,-283,-35
5.0920000000001,-65,-283,-35
5.31799999999993,-65,-283,-35
4.27899999999992,-62,-282,-32
5.30500000000012,-63,-285,-33
5.30999999999993,-63,-285,-33
4.28899999999999,-63,-285,-33
5.23000000000007,-61,-283,-33
5.36199999999987,-61,-283,-33
5.33300000000003,-60,-288,-36
4.556,-60,-288,-36
6.09000000000015,-63,-285,-31
4.297,-63,-285,-31
5.36899999999996,-64,-282,-32
5.31700000000002,-63,-279,-33
5.29699999999989,-63,-279,-33
4.35099999999999,-63,-279,-33
5.28700000000004,-62,-284,-40
5.3700000000001,-63,-283,-37
4.21499999999986,-63,-283,-37
5.34000000000012,-63,-283,-37
5.29899999999994,-61,-283,-41
4.61899999999993,-61,-287,-37
5.39400000000012,-61,-287,-37
4.243,-61,-287,-37
6.33099999999986,-69,-283,-37
5.44100000000003,-61,-283,-35
4.21500000000008,-61,-283,-35
5.30699999999995,-61,-283,-35
5.3669999999999,-59,-289,-37
